master_run_number,chirp_rate,fraction,CA+_mean,CA+_std_dev,CA+_percentile_0,CA+_percentile_10,CA+_percentile_20,CA+_percentile_30,CA+_percentile_40,CA+_percentile_50,CA+_percentile_60,CA+_percentile_70,CA+_percentile_80,CA+_percentile_90,CA+_percentile_100,CA-_mean,CA-_std_dev,CA-_percentile_0,CA-_percentile_10,CA-_percentile_20,CA-_percentile_30,CA-_percentile_40,CA-_percentile_50,CA-_percentile_60,CA-_percentile_70,CA-_percentile_80,CA-_percentile_90,CA-_percentile_100
15795,-25.09522,0.5976671442990475,4508.495882352941,1993.0410926036056,-3331.0,1972.0,2836.2000000000007,3475.0,4017.0,4514.0,4999.0,5528.0,6159.0,7020.4000000000015,13029.0,396.8338823529412,685.2085603876069,-32767.0,292.0,325.0,349.0,369.0,385.0,402.0,422.0,446.0,479.0,32767.0
15795,-25.09081,0.4358131611447174,3581.5477286135692,2029.7961570336095,-4268.0,1002.0,1911.0,2519.7999999999993,3071.0,3568.0,4081.0,4607.0,5253.0,6139.0,11582.0,395.11722713864305,680.9014866031561,-32767.0,292.0,325.0,349.0,369.0,385.0,406.0,422.0,446.0,479.0,32767.0
15795,-25.0906,0.5114645404374814,4041.284896755162,2005.8389985774954,-3092.0,1491.0,2348.0,3023.0,3556.0,4013.0,4514.0,5047.0,5682.0,6591.0,12581.0,392.88861356932154,674.483724148875,-32767.0,288.0,320.0,345.0,365.0,381.0,398.0,418.0,442.0,475.0,32767.0
15795,-25.09333,0.4963054015325875,4274.727588235294,2074.7969288223494,-3715.0,1624.0,2562.0,3225.0,3758.0,4255.0,4785.0,5330.0,5981.0,6906.4000000000015,12754.0,392.8143529411765,652.9922537193856,-26770.0,292.0,320.0,345.0,365.0,381.0,402.0,418.0,442.0,475.0,32767.0
15795,-25.09018,0.615621660340851,4398.278235294118,2042.9728078284102,-3387.0,1798.0,2679.0,3326.0,3879.0,4409.0,4906.0,5439.0,6070.0,6971.4000000000015,13555.0,395.9816470588235,665.2412601841568,-5664.0,288.0,320.0,345.0,365.0,381.0,402.0,418.0,442.0,475.0,32767.0
15795,-25.094240000000003,0.4679897311396087,3454.0938053097343,2002.3007197819966,-3860.0,844.0,1782.0,2445.0,2982.0,3467.0,3960.0,4490.0,5104.0,5969.0,12771.0,390.2439528023599,711.1239576071815,-32767.0,284.0,316.0,341.0,361.0,377.0,398.0,418.0,438.0,471.0,32767.0
15795,-25.09501,0.5900671787579871,2766.7312352941176,1995.2638938395219,-4761.0,238.0,1083.0,1705.0,2255.0,2748.0,3241.0,3766.0,4417.0,5306.0,11255.0,388.51447058823527,687.6095057362407,-23154.0,284.0,316.0,337.0,357.0,373.0,394.0,414.0,434.0,467.0,32767.0
15795,-25.09382,0.5336768385810216,4128.489026548673,2051.360137885913,-3242.0,1515.0,2408.0,3067.0,3621.0,4134.0,4635.0,5201.0,5839.0,6704.0,12387.0,386.05793510324486,713.6616287158367,-32767.0,280.0,312.0,337.0,357.0,373.0,390.0,410.0,434.0,467.0,32767.0
15795,-25.09207,0.5450189567003639,4797.525117647059,2025.4051446166745,-2429.0,2206.0,3111.0,3746.0,4304.0,4813.0,5306.0,5827.0,6454.0,7339.0,13409.0,385.7960588235294,712.897813894148,-32767.0,280.0,312.0,337.0,353.0,373.0,390.0,410.0,434.0,467.0,32767.0
15795,-25.09543,0.5685478310028536,4179.9649557522125,2008.646255715727,-3690.0,1619.6000000000004,2525.0,3168.0,3689.0,4191.0,4667.0,5197.0,5815.0,6688.4000000000015,13320.0,392.8053687315634,694.2217319784204,-25775.0,288.0,320.0,341.0,361.0,381.0,398.0,418.0,438.0,471.0,32767.0
15795,-25.093960000000003,0.4342977152063538,5233.69581120944,2036.135267652212,-2571.0,2635.0,3548.0,4186.0,4724.0,5217.0,5718.0,6264.0,6890.0,7820.4000000000015,13741.0,389.64330383480825,655.8320314949609,-26668.0,288.0,316.0,341.0,361.0,377.0,398.0,414.0,438.0,471.0,32767.0
15795,-25.09032,0.4487882636903305,3214.6666470588234,2002.4268504799059,-4228.0,674.0,1535.0,2166.0,2695.0,3204.0,3706.0,4240.199999999997,4878.0,5755.0,11502.0,390.2182352941176,713.8520245552237,-32767.0,288.0,320.0,345.0,365.0,381.0,402.0,418.0,442.0,475.0,32767.0
15795,-25.09403,0.4402099918848615,2883.62395280236,2047.3729515018283,-4474.0,282.0,1188.0,1855.0,2376.0,2883.0,3382.0,3933.199999999997,4554.0,5439.0,12338.0,395.194395280236,666.0611946899714,8.0,288.0,320.0,341.0,361.0,381.0,398.0,418.0,442.0,475.0,32767.0
15795,-25.090110000000003,0.6025907072529587,4061.347764705882,2040.8442718641925,-3747.0,1458.0,2380.0,3002.0,3546.4000000000015,4057.0,4566.0,5124.0,5755.0,6624.0,12621.0,390.31970588235293,664.9531514412713,-32767.0,288.0,320.0,341.0,363.40000000000146,381.0,398.0,418.0,442.0,475.0,32767.0
